cluster,raised,goal,donors,length,shares
9,4506,5000,96,5,324
0,4503,10000,49,4,544
13,4500,15000,30,4,155
1,4430,50000,66,23,568
7,4342,20000,41,5,104
12,4340,10000,38,1,47
8,4325,5000,82,1,437
15,4320,5000,17,5,36
10,4310,5000,39,4,100
18,4310,4500,19,1,52
1,4297,8000,95,5,520
8,4295,10000,56,3,90
15,4295,10000,61,4,285
19,4285,10000,33,3,59
9,4360,4000,70,28,56
4,4360,3000,49,2,146
15,4358,5000,93,1,344
15,4350,10000,58,2,396
1,4350,10000,43,3,69
7,4342,20000,41,5,104
12,4340,10000,38,1,47
8,4325,5000,82,1,437
15,4320,5000,17,5,36
10,4310,5000,39,4,100
18,4310,4500,19,1,52
1,4297,8000,95,5,520
8,4295,10000,56,3,90
15,4295,10000,61,4,285
19,4285,10000,33,3,59
15,4275,8000,61,2,566
7,4267,25000,54,4,244
15,4265,5000,40,6,177
14,4646,10000,312,3,476
4,4250,10000,75,4,789
5,4250,11500,38,1,56
4,4232,20000,66,5,41
12,4217,4500,45,20,382
5,4210,4000,35,5,136
2,4205,5000,53,4,403
12,4200,6000,51,12,507
2,4200,10000,66,3,629
13,4195,50000,52,3,329
18,4188,100000,73,2,628
14,4183,20000,54,5,354
2,4175,25000,49,3,378
8,4460,10000,40,4,301
15,4160,5000,56,4,312
12,4156,300000,43,4,229
17,4150,200000,33,4,309
9,4150,5000,52,5,76
16,4145,10000,34,4,456
5,4144,10000,69,1,184
12,4140,5000,72,1,292
1,4130,55000,45,2,251
8,4125,10000,41,4,235
9,4105,10000,72,5,943
4,4100,5000,69,4,175
1,4130,55000,45,2,251
8,4125,10000,41,4,235
9,4105,10000,72,5,943
4,4100,5000,69,4,175
9,4100,4000,17,3,97
8,4099,20000,51,5,343
11,4097,20000,50,3,360
2,4095,10000,54,2,669
16,4095,5000,50,1,11
3,4085,20000,71,3,848
1,4032,40000,57,5,280
13,4025,10000,54,3,55
18,4025,12000,14,4,37
15,4010,15000,62,8,278
0,4005,80000,26,4,57
12,3990,10000,28,6,196
10,3990,6000,19,4,41
18,3983,10000,38,4,190
12,3990,10000,28,6,196
10,3990,6000,19,4,41
18,3983,10000,38,4,190
11,3968,15000,68,1,197
4,3965,10000,50,2,427
14,3955,4500,51,5,331
5,3950,20000,69,1,398
9,3945,3000,71,3,269
9,3945,3000,71,3,269
18,3939,10000,39,3,279
9,3928,20000,72,5,1.4k
9,3925,100000,31,4,391
3,3919,2500,20,4,7
1,3900,11000,10,5,32
2,3895,20000,50,5,185
