CaseTotalKPI,Classification,Country,Culture,ObjectName,ObjectNumber
Overall Collection,Firearms Accessories,,Cambodian,Bullet basket,36.25.2468
Overall Collection,Archery Equipment-Bows,,Chinese,Slur bow,36.25.2496
Overall Collection,Firearms Accessories-Flasks & Primers,,Persian,Powder flask with tasseled cord,"36.25.2355a, b"
Overall Collection,Firearms-Guns-Miquelet,,"Algerian, Kabyle",Miquelet gun,36.25.2180
Mid-Point,Shafted Weapons,,Thai,Lance with sheath,"36.25.2067a, b"
Overall Collection,Miscellaneous,,Indian,Boomerang,36.25.1924
Mid-Point,Shafted Weapons,,Javanese,Bident spearhead,36.25.1955
Mid-Point,Shafted Weapons,,"Indian, Jaipur",Crowbill (Zaghnal),36.25.1807
Mid-Point,Shafted Weapons,,Indian,Axe (Bullova),36.25.1813
Mid-Point,Shafted Weapons,,Persian,Mace,36.25.1896
Mid-Point,Swords,,Turkish,Sword (Kilij) with scabbard,"36.25.1346a, b"
Overall Collection,Krisses,,Javanese,Kris with sheath,"36.25.1122a, b"
Mid-Point,Daggers,,"Indian, Thanjavur; blade, European",Guarded dagger (Katar),36.25.1008
Overall Collection,Knives,,Persian,Knife (Kard) with sheath,"36.25.1049a, b"
Mid-Point,Daggers,,Indian,Dagger (Katar),36.25.906
Mid-Point,Daggers,,Indian,Hilt of a dagger,36.25.970
Overall Collection,Knives,,Malayan,Knife with sheath,"36.25.858a, b"
Mid-Point,Daggers,,"Indian, Thanjavur",Dagger (Bichuwa),36.25.779
Overall Collection,Equestrian Equipment-Saddles,,Burmese,Saddle with pad and girth,36.25.578a_c
Overall Collection,Shields,,Indian,Shield (Dhˆl),36.25.588
Overall Collection,Armor Parts,,Indian,Arm guard,36.25.406
Overall Collection,Armor Parts,,Indian,Pair of arm guards,"36.25.419a, b"
Overall Collection,Mail,,Indian,Coif of Mail,36.25.486
Overall Collection,Armor Parts,,Turkish,Gorget,36.25.391
Mid-Point,Shafted Weapons,,Italian,Mace,32.75.203
Mid-Point,Shafted Weapons,,French,Partisan,32.75.206
Mid-Point,Daggers,,Sri Lankan,Dagger (<i>Piha kaetta</i>) with stylus and sheath,32.75.251a_c
Mid-Point,Daggers,,Spanish,Combination dagger with pistol and sheath,26.145.255a_c
Mid-Point,Daggers,,North French,Roundel dagger,26.145.28
Mid-Point,Daggers,,French,Dagger,26.145.36
Overall Collection,Firearms-Guns-Flintlock,,"British, London",Flintlock blunderbuss,25.188.13
Overall Collection,Equestrian Equipment-Spurs,,possibly Italian,Spur,23.192.7
Overall Collection,Miscellaneous,,German,Seal reproduction,23.218.18
Overall Collection,Miscellaneous-Buckles & Ornament,,Visigothic,Buckle shank,20.153.6
Mid-Point,Sword Furniture-Tsuba,,Japanese,Sword guard (Tsuba),19.154.18
Mid-Point,Sword Furniture-Tsuba,,Japanese,Sword guard (Tsuba),19.154.43
Mid-Point,Swords,,"Italian, Reggio",Saber,15.112
Overall Collection,Equestrian Equipment-Spurs,,German,Spurs,"14.25.1722a, b"
Overall Collection,Equestrian Equipment-Saddles,,German,Saddle plate,14.25.1676
Overall Collection,Firearms Accessories-Flasks & Primers,,Italian,Powder flask,14.25.1441
Mid-Point,Shafted Weapons,,German,War axe,14.25.1362
Overall Collection,Miscellaneous-Buckles & Ornament,,European,Mordant,29.158.816
Overall Collection,Miscellaneous-Buckles & Ornament,,European,Pendant,29.158.830
Overall Collection,Equestrian Equipment-Shaffrons,,German,Plates for a shaffron (Horse's head defense),29.158.618
Overall Collection,Equestrian Equipment-Shaffrons,,German,Top half of shaffron (Horse's head defense),29.158.364
Overall Collection,Mail,,Islamic and German,Links of mail,29.158.192a_i
Overall Collection,Sword Furniture-Kozuka,,Japanese,Knife handle (Kozuka),29.100.1100
Overall Collection,Sword Furniture-Fuchi-Kashira,,Japanese,Sword-hilt collar and pommel (Fuchigashira),"29.100.1341a, b"
Overall Collection,Sword Furniture-Fuchi-Kashira,,Japanese,Sword-hilt collar and pommel (Fuchigashira),27.148.3_.4
Overall Collection,Sword Furniture-Kozuka,,Japanese,Knife handle (Kozuka),17.208.45
Overall Collection,Sword Furniture-Kozuka,,Japanese,Knife handle (Kozuka),17.208.63
Mid-Point,Sword Furniture-Tsuba,,Japanese,Sword guard (Tsuba),17.208.66
Overall Collection,Armor Parts,,French,Arm defenses,50.237.1f_g
Mid-Point,Swords,,Japanese,Blades and mountings for a pair of swords (Daish_) for a boy,"2011.110.1a_i, .2a_k"
Mid-Point,Sword Furniture-Tsuba,,Japanese,Sword guard (Tsuba),14.100.15
Overall Collection,Combination Weapons,,"German, possibly Saxony",Combination weapon,14.25.1280
Overall Collection,Helmets,,"German, Landshut",Close helmet,04.3.267a
Mid-Point,Sword Furniture-Tsuba,,Japanese,Sword guard (Tsuba),2012.528.2
Overall Collection,Armor Parts,,"cuirass, Iranian; mail shirt, Iranian or Indian",Cuirass (Char aina) with mail shirt,"36.25.18a_d, .22a"
Overall Collection,Paintings,,China,Fan mounted as an album leaf,13.100.124
Overall Collection,Paintings,,Japan,Hanging scroll,1975.268.147
Overall Collection,Paintings,,China,Hanging scroll,1986.267.158
Overall Collection,Paintings,,China,Folding fan mounted as an album leaf,1986.267.305
Overall Collection,Paintings,,China,Folding fan,1986.267.414
Overall Collection,Prints,,Japan,Woodblock print,JP28
Overall Collection,Prints,,Japan,Print,JP71
Overall Collection,Prints,,Japan,Print,JP83
Overall Collection,Prints,,Japan,Print,JP184
Overall Collection,Prints,,Japan,Print,JP278
Overall Collection,Prints,,Japan,Print,JP305
Overall Collection,Prints,,Japan,Print,JP470
Overall Collection,Prints,,Japan,Print,JP513
Overall Collection,Prints,,Japan,Woodblock print,JP820
